Item type	Authors	Title	Journal	Publication year	Volume	Issue	Pages	Institution	Publisher	Proceedings title	Date published
Journal Article	Daneshmand A,Facchinei F,Kungurtsev V,Scutari G	Hybrid random/deterministic parallel algorithms for convex and nonconvex big data optimization	IEEE Transactions on Signal Processing	2015	63	15	3914-3929		IEEE		2015
Journal Article	Daneshmand A,Scutari G,Kungurtsev V	Second-order guarantees of distributed gradient algorithms	SIAM Journal on Optimization	2020	30	4	3029-3068		SIAM		2020
Conference Paper	Vahidian S,Morafah M,Wang W,Kungurtsev V,Chen C,Shah M,Lin B	Efficient distribution similarity identification in clustered federated learning via principal angles between client data subspaces		2023	37		10043-10052			Proceedings of the AAAI Conference on Artificial Intelligence	2023
Journal Article	Bergou EH,Diouane Y,Kungurtsev V	Convergence and complexity analysis of a Levenberg--Marquardt algorithm for inverse problems	Journal of Optimization Theory and Applications	2020	185		927-944		Springer		2020
Journal Article	Gill PE,Kungurtsev V,Robinson DP	A stabilized SQP method: global convergence	IMA Journal of Numerical Analysis	2017	37	1	407-443		OUP		2017
Journal Article	Cannelli L,Facchinei F,Kungurtsev V,Scutari G	Asynchronous parallel algorithms for nonconvex optimization	Mathematical Programming	2020	184		121-154		Springer		2020
Journal Article	Cannelli L,Facchinei F,Scutari G,Kungurtsev V	Asynchronous optimization over graphs: Linear convergence under error bound conditions	IEEE Transactions on Automatic Control	2020	66	10	4604-4619		IEEE		2020
Journal Article	Gill PE,Kungurtsev V,Robinson DP	A stabilized SQP method: superlinear convergence	Mathematical Programming	2017	163	1-2	369-410		Springer		2017
Journal Article	Shevchenko A,Kungurtsev V,Mondelli M	Mean-field analysis of piecewise linear solutions for wide ReLU networks	The Journal of Machine Learning Research	2022	23	1	5660-5714		JMLRORG		2022
Journal Article	Kungurtsev V,Jaschke J	A predictor-corrector path-following algorithm for dual-degenerate parametric optimization problems	SIAM Journal on Optimization	2017	27	1	538-564		SIAM		2017
Journal Article	Intallura P,Korpas G,Chakraborty S,Kungurtsev V,Marecek J	A Survey of Quantum Alternatives to Randomized Algorithms: Monte Carlo Integration and Beyond	arXiv preprint arXiv:2303. 04945	2023							2023
Journal Article	Gill PE,Kungurtsev V,Robinson DP	A shifted primal-dual penalty-barrier method for nonlinear optimization	SIAM Journal on Optimization	2020	30	2	1067-1093		SIAM		2020
Journal Article	Kungurtsev V,Diehl M	Sequential quadratic programming methods for parametric nonlinear optimization	Computational Optimization and Applications	2014	59		475-509		Springer		2014
Journal Article	Bergou EH,Diouane Y,Kunc V,Kungurtsev V,Royer CW	A subsampling line-search method with second-order results	INFORMS Journal on Optimization	2022	4	4	403-425		INFORMS		2022
Journal Article	Facchinei F,Kungurtsev V,Lampariello L,Scutari G	Ghost penalties in nonconvex constrained optimization: Diminishing stepsizes and iteration complexity	Mathematics of Operations Research	2021	46	2	595-627		INFORMS		2021
Journal Article	Attouch H,Fadili J,Kungurtsev V	ON THE EFFECT OF PERTURBATIONS IN FIRST-ORDER OPTIMIZATION METHODS WITH INERTIA AND HESSIAN DRIVEN DAMPING	Evolution Equations & Control Theory	2023	12	1					2023
Conference Paper	Nadiradze G,Markov I,Chatterjee B,Kungurtsev V,Alistarh D	Elastic consistency: A practical consistency model for distributed stochastic gradient descent		2021	35		9037-9045			Proceedings of the AAAI Conference on Artificial Intelligence	2021
Journal Article	Kungurtsev V,Korpas G,Marecek J,Zhu EY	Iteration complexity of variational quantum algorithms	arXiv preprint arXiv:2209. 10615	2022							2022
Journal Article	Suwartadi E,Kungurtsev V,Jäschke J	Sensitivity-based economic NMPC with a path-following approach	Processes	2017	5	1	8		MDPI		2017
Journal Article	Kungurtsev V,Morafah M,Javidi T,Scutari G	Decentralized asynchronous non-convex stochastic optimization on directed graphs	IEEE Transactions on Control of Network Systems	2023					IEEE		2023
